Name;ISIN CODE;Date;Open;High;Low;Close;Volume
Crédit Agricole SA;FR0000045072;14/12/2018;10.132;10.15;9.93;10.136;5595892
Atos SE;FR0000051732;14/12/2018;70.00;70.00;67.94;69.20;453201
HERMES INTL -;FR0000052292;14/12/2018;485.50;488.30;480.70;485.80;81382
Safran SA;FR0000073272;14/12/2018;107.60;108.90;107.00;108.20;706648
Air Liquide SA;FR0000120073;14/12/2018;106.60;107.80;106.05;107.20;714662
Carrefour;FR0000120172;14/12/2018;15.05;15.13;14.86;14.925;3266033
Total SA;FR0000120271;14/12/2018;48.605;49.495;48.605;49.10;8072261
L'Oréal SA;FR0000120321;14/12/2018;205.90;207.00;203.30;204.30;686736
ACCOR;FR0000120404;14/12/2018;37.91;37.91;37.37;37.77;742522
Bouygues;FR0000120503;14/12/2018;32.87;33.20;32.63;33.10;760788
Sanofi SA;FR0000120578;14/12/2018;78.20;78.82;77.73;78.24;2680637
AXA SA;FR0000120628;14/12/2018;19.246;19.258;18.96;19.198;8178725
Danone SA;FR0000120644;14/12/2018;64.21;64.47;63.72;64.08;1500913
Pernod Ricard SA;FR0000120693;14/12/2018;147.40;149.70;146.50;148.40;512300
LVMH Moet Hennessy Louis Vuitton SE;FR0000121014;14/12/2018;248.90;253.85;248.00;251.95;836436
SODEXO;FR0000121220;14/12/2018;91.32;91.50;89.86;90.44;327880
Michelin SA;FR0000121261;14/12/2018;87.62;87.98;85.56;87.10;665547
Kering SA;FR0000121485;14/12/2018;405.00;408.60;399.80;404.40;262035
Peugeot SA;FR0000121501;14/12/2018;18.075;18.275;17.76;18.235;2817963
EssilorLuxottica S.A;FR0000121667;14/12/2018;110.25;110.45;109.75;110.05;1066945
Schneider Electric SE;FR0000121972;14/12/2018;62.18;62.18;60.72;61.00;2369186
VEOLIA ENVIRONNEMENT;FR0000124141;14/12/2018;18.555;18.57;18.32;18.515;1919615
Compagnie de Saint-Gobain SA;FR0000125007;14/12/2018;30.02;30.02;29.42;29.595;1790942
Capgemini SE;FR0000125338;14/12/2018;95.08;95.32;93.32;94.22;577492
Vinci SA;FR0000125486;14/12/2018;73.72;73.92;73.02;73.52;1260594
VIVENDI;FR0000127771;14/12/2018;21.38;21.49;21.16;21.29;2786573
Publicis S.A;FR0000130577;14/12/2018;49.60;50.16;49.14;49.98;666457
Dassault Systemes;FR0000130650;14/12/2018;108.50;108.75;104.70;105.10;506559
Société Générale SA;FR0000130809;14/12/2018;30.33;30.435;29.665;29.85;4526748
BNP Paribas;FR0000131104;14/12/2018;42.02;42.045;40.945;41.595;4273220
Renault;FR0000131906;14/12/2018;56.47;56.47;54.85;55.65;1783426
Orange SA;FR0000133308;14/12/2018;14.52;14.585;14.425;14.54;7538194
Engie SA;FR0010208488;14/12/2018;12.735;12.905;12.68;12.905;7247770
LEGRAND;FR0010307819;14/12/2018;49.76;50.14;49.50;49.69;834174
Valeo SA;FR0013176526;14/12/2018;24.81;24.81;23.71;24.02;1790023
UNIBAIL-RODAMCO-WESTFIELD;FR0013326246;14/12/2018;143.96;145.34;142.70;144.62;517687
TECHNIPFMC;GB00BDSFG982;14/12/2018;18.865;18.955;18.315;18.385;2041000
ARCELORMITTAL SA;LU1598757687;14/12/2018;19.308;19.488;18.864;19.42;4707769
STMICROELECTRONICS;NL0000226223;14/12/2018;12.08;12.30;11.81;12.23;3279746
Airbus SE;NL0000235190;14/12/2018;89.29;89.79;88.32;88.67;2106031
